"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
4,2000.415301,2000.830601,"Y","15-49","MICS","MW",0.036,0.012,0.053,NA,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.","N","?","None","Y",NA,NA,NA,NA,NA,NA,2893
4,2003.413699,2003.578082,"Y","15-49","MICS","MW",0.087,0.016,0.103,NA,"","N","?","None","Y",NA,NA,NA,NA,NA,NA,1925
4,2005.413699,2005.663014,"Y","15-49","National survey","MW",0.125,0.011,0.136,NA,"","N","?","None","Y",NA,NA,NA,NA,NA,NA,4368
4,2006.70411,2006.912329,"Y","15-49","National survey","MW",0.175,0.011,0.186,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.","N","?","None","Y",NA,NA,NA,NA,NA,NA,4369
4,2007.619178,2008.663934,"Y","15-49","National survey","MW",0.152,0.076,0.228,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,4465
4,2010.747945,2011.410959,"Y","15-49","MICS","MW",0.2020822583,0.01031284138,0.2123950997,NA,"","N","None","None","Y",0.006912198,0.001169834,NA,0.043237573,0.116610939,NA,4983
4,2010.246575,2010.99726,"Y","15-49","National survey","MW",0.199,0.019,0.218,NA,"Excluding areas in the South zone.","N","None","None","N",NA,NA,NA,NA,NA,NA,5045
4,2012.581967,2012.997268,"Y","15-49","National survey","MW",0.138,NA,NA,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,7515
4,2015.413699,2016.161202,"Y","15-49","DHS","MW",0.197840789,0.02686428767,0.2247050767,0.244653465,"","N","None","None","N",0.006802585,0.002147634,0.005415976,0.043837429,0.08503315,0.030762159,5689
4,2015.49589,2015.99726,"Y","15-49","National survey","MW",0.163,NA,NA,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,7507
8,2000.415301,2000.513661,"Y","15-49","MICS","MW",0.1745935432,0.400857436,0.5754509792,NA,"","N","None","None","N",0.010513019,0.01819887,NA,0.088144344,0.087388811,NA,1943
8,2002.580822,2002.99726,"Y","15-49","Other","MW",0.08,0.671,0.751,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1681
